No protocol specified
dropped categorical variable 'SEX', because it has only 1 values
[32m[I 2022-04-13 11:43:22,798][0m A new study created in memory with name: no-name-254e8165-b827-4f85-ba34-7ac6c258ede8[0m
[32m[I 2022-04-13 11:46:26,187][0m Trial 0 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 9.601762275126814e-06, 'n_estimators': 714, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.0867314001757515, 'min_impurity_decrease': 0.23803169650781417, 'max_features': 0.2927066369024008, 'subsample': 0.03387756265930235, 'dropout_rate': 0.4510978591106314, 'ccp_alpha': 2.130099317007141}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-15 06:58:22,997][0m Trial 562 finished with value: 0.6743624146605087 and parameters: {'loss': 'coxph', 'learning_rate': 0.0105030964533898, 'n_estimators': 376, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1301061245787478, 'min_impurity_decrease': 0.5227359571001322, 'max_features': 0.826966752183, 'subsample': 0.7254177821529846, 'dropout_rate': 0.5085423777378116, 'ccp_alpha': 0.15627799678141835}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 06:59:05,850][0m Trial 563 finished with value: 0.7322243422048539 and parameters: {'loss': 'coxph', 'learning_rate': 2.2060317541493323e-05, 'n_estimators': 365, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.11310049771425049, 'min_impurity_decrease': 0.4804901781329995, 'max_features': 0.8088204132789211, 'subsample': 0.7125459454861327, 'dropout_rate': 0.45867521461556826, 'ccp_alpha': 0.09356367661707682}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 06:59:51,307][0m Trial 564 finished with value: 0.7722141298572439 and parameters: {'loss': 'coxph', 'learning_rate': 0.011291810143167571, 'n_estimators': 384, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.11980096471404224, 'min_impurity_decrease': 0.5258929247139124, 'max_features': 0.8472055894716437, 'subsample': 0.7349590788757967, 'dropout_rate': 0.5447766980514869, 'ccp_alpha': 0.001959920397526574}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 07:00:28,061][0m Trial 565 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.011195793082965687, 'n_estimators': 350, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13798241637200398, 'min_impurity_decrease': 0.524728191307708, 'max_features': 0.8449761445980497, 'subsample': 0.8009007110834956, 'dropout_rate': 0.5366888614955877, 'ccp_alpha': 0.2939777392133484}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 07:01:13,429][0m Trial 566 finished with value: 0.6743624146605087 and parameters: {'loss': 'coxph', 'learning_rate': 0.011604567839065352, 'n_estimators': 393, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.12239624279728656, 'min_impurity_decrease': 0.5079465833892015, 'max_features': 0.8287104139032647, 'subsample': 0.7654309731133605, 'dropout_rate': 0.4927627546894187, 'ccp_alpha': 0.16566787963579852}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 07:01:53,940][0m Trial 567 finished with value: 0.6743624146605087 and parameters: {'loss': 'coxph', 'learning_rate': 0.009060007505801626, 'n_estimators': 341, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09266258853201356, 'min_impurity_decrease': 0.4903339030930299, 'max_features': 0.8552562689588777, 'subsample': 0.7375395403023022, 'dropout_rate': 0.39778138924126233, 'ccp_alpha': 0.13348556589346247}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 07:02:36,164][0m Trial 568 finished with value: 0.7374345159871755 and parameters: {'loss': 'coxph', 'learning_rate': 0.011835695032701763, 'n_estimators': 371, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.11479356999920234, 'min_impurity_decrease': 0.5451609224441636, 'max_features': 0.8211780004084077, 'subsample': 0.7459123743546094, 'dropout_rate': 0.5509968373816275, 'ccp_alpha': 0.07908260007839327}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 07:03:19,421][0m Trial 569 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.008822151726936001, 'n_estimators': 393, 'criterion': 'squared_error', 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.10134127145696856, 'min_impurity_decrease': 0.5130783355823063, 'max_features': 0.8541178460244333, 'subsample': 0.7319084236936008, 'dropout_rate': 0.5148094878662697, 'ccp_alpha': 0.001558080666663777}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 07:03:43,390][0m Trial 570 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.012889488545868728, 'n_estimators': 278, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.12149474964707553, 'min_impurity_decrease': 0.5388064670487211, 'max_features': 0.7825527328868636, 'subsample': 0.7672032449554574, 'dropout_rate': 0.5587234444550443, 'ccp_alpha': 0.24295634405146466}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 07:04:23,663][0m Trial 571 finished with value: 0.7325963480779508 and parameters: {'loss': 'coxph', 'learning_rate': 0.010043379093381337, 'n_estimators': 384, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.11015745459875168, 'min_impurity_decrease': 0.4967641527160165, 'max_features': 0.8747590965833204, 'subsample': 0.6997436762813003, 'dropout_rate': 0.5268302027605128, 'ccp_alpha': 0.09068619962102935}. Best is trial 561 with value: 0.7732244799069579.[0m
[32m[I 2022-04-15 07:05:11,650][0m Trial 572 finished with value: 0.7770667440438721 and parameters: {'loss': 'coxph', 'learning_rate': 0.007053503704459513, 'n_estimators': 406, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07321207386775727, 'min_impurity_decrease': 0.5255879398749613, 'max_features': 0.8121416490820254, 'subsample': 0.7243466197291966, 'dropout_rate': 0.5767740785483177, 'ccp_alpha': 0.0037720321921022033}. Best is trial 572 with value: 0.7770667440438721.[0m
[32m[I 2022-04-15 07:05:55,544][0m Trial 573 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.006809446731779466, 'n_estimators': 414, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05991234009088234, 'min_impurity_decrease': 0.4784696253386673, 'max_features': 0.804928845310516, 'subsample': 0.7576075452581152, 'dropout_rate': 0.579284105030659, 'ccp_alpha': 0.9340994769523815}. Best is trial 572 with value: 0.7770667440438721.[0m
[32m[I 2022-04-15 07:06:46,110][0m Trial 574 finished with value: 0.7647932590971893 and parameters: {'loss': 'coxph', 'learning_rate': 0.007865381037264686, 'n_estimators': 439, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.20325788132840397, 'min_impurity_decrease': 0.5249383375720885, 'max_features': 0.8351943638806165, 'subsample': 0.7043139375234434, 'dropout_rate': 0.58751027037192, 'ccp_alpha': 0.0034000704956511528}. Best is trial 572 with value: 0.7770667440438721.[0m
[32m[I 2022-04-15 07:07:06,679][0m Trial 575 finished with value: 0.32830151169255306 and parameters: {'loss': 'squared', 'learning_rate': 0.00568853749368101, 'n_estimators': 367, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.04772330868273236, 'min_impurity_decrease': 0.5552274395420242, 'max_features': 0.8158439107146194, 'subsample': 0.7307038011491559, 'dropout_rate': 0.5530559231438053, 'ccp_alpha': 0.1894906089956114}. Best is trial 572 with value: 0.7770667440438721.[0m
[32m[I 2022-04-15 07:07:48,396][0m Trial 576 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.009105210440077846, 'n_estimators': 415, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07840373461657861, 'min_impurity_decrease': 0.529780655234761, 'max_features': 0.8441739556294817, 'subsample': 0.6869625825789277, 'dropout_rate': 0.5804102248084179, 'ccp_alpha': 2.3703331564313097}. Best is trial 572 with value: 0.7770667440438721.[0m
[32m[I 2022-04-15 07:08:30,252][0m Trial 577 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.007124605901169996, 'n_estimators': 386, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09988401722899262, 'min_impurity_decrease': 0.5070952115878594, 'max_features': 0.7946173856169837, 'subsample': 0.7092905822168306, 'dropout_rate': 0.5408115790295371, 'ccp_alpha': 0.40359316878788326}. Best is trial 572 with value: 0.7770667440438721.[0m
[32m[I 2022-04-15 07:09:07,824][0m Trial 578 finished with value: 0.7330913860688613 and parameters: {'loss': 'coxph', 'learning_rate': 0.012461738309393407, 'n_estimators': 347, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1280091452052058, 'min_impurity_decrease': 0.5514261427963579, 'max_features': 0.8610543978163968, 'subsample': 0.7192675831479612, 'dropout_rate': 0.46726891833029083, 'ccp_alpha': 0.08645945994043128}. Best is trial 572 with value: 0.7770667440438721.[0m
[32m[I 2022-04-15 07:09:57,866][0m Trial 579 finished with value: 0.777092180154576 and parameters: {'loss': 'coxph', 'learning_rate': 0.010736083898742954, 'n_estimators': 397, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07224502325141949, 'min_impurity_decrease': 0.5691955404973642, 'max_features': 0.8855004932451234, 'subsample': 0.7339786956683229, 'dropout_rate': 0.5068671664592825, 'ccp_alpha': 0.0014167619449788383}. Best is trial 579 with value: 0.777092180154576.[0m
[32m[I 2022-04-15 07:10:56,197][0m Trial 580 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.01336426945846117, 'n_estimators': 395, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09714528584109235, 'min_impurity_decrease': 0.5700593086658308, 'max_features': 0.8899437424491344, 'subsample': 0.7512097720285563, 'dropout_rate': 0.4965230195610883, 'ccp_alpha': 0.2509085981121755}. Best is trial 579 with value: 0.777092180154576.[0m
[32m[I 2022-04-15 07:11:41,712][0m Trial 581 finished with value: 0.6743624146605087 and parameters: {'loss': 'coxph', 'learning_rate': 0.011107900257201308, 'n_estimators': 425, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.08871193107252984, 'min_impurity_decrease': 0.5375735371328692, 'max_features': 0.8835590082632934, 'subsample': 0.7155065429271764, 'dropout_rate': 0.5926991574199711, 'ccp_alpha': 0.1562433072966875}. Best is trial 579 with value: 0.777092180154576.[0m
[32m[I 2022-04-15 07:12:37,289][0m Trial 582 finished with value: 0.7782421835300739 and parameters: {'loss': 'coxph', 'learning_rate': 0.014263437562101217, 'n_estimators': 405, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07989684549926816, 'min_impurity_decrease': 0.5643384377425482, 'max_features': 0.9092599247943638, 'subsample': 0.6972443260897924, 'dropout_rate': 0.4773015397743741, 'ccp_alpha': 0.0011069642905094743}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:13:26,342][0m Trial 583 finished with value: 0.716997913916276 and parameters: {'loss': 'coxph', 'learning_rate': 0.016288522879047248, 'n_estimators': 411, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07509341131491001, 'min_impurity_decrease': 0.5638321067442466, 'max_features': 0.9115675706544552, 'subsample': 0.7538962222440174, 'dropout_rate': 0.4689464613764677, 'ccp_alpha': 0.10138883516387821}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:14:18,995][0m Trial 584 finished with value: 0.6743624146605087 and parameters: {'loss': 'coxph', 'learning_rate': 0.014283314121648561, 'n_estimators': 449, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06625415381781179, 'min_impurity_decrease': 0.5311538878196942, 'max_features': 0.894487826343042, 'subsample': 0.7312618305075707, 'dropout_rate': 0.5253568974259968, 'ccp_alpha': 0.1709688786349744}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:14:59,010][0m Trial 585 finished with value: 0.7311520804732079 and parameters: {'loss': 'coxph', 'learning_rate': 0.010449164214334694, 'n_estimators': 375, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05468339076959491, 'min_impurity_decrease': 0.5701001917750204, 'max_features': 0.9070548351867344, 'subsample': 0.7411369835653807, 'dropout_rate': 0.5039286890114236, 'ccp_alpha': 0.0891314528971969}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:15:47,121][0m Trial 586 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.01617252174489461, 'n_estimators': 400, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08633828224887816, 'min_impurity_decrease': 0.5877247935226074, 'max_features': 0.8724376119252676, 'subsample': 0.7856895102568858, 'dropout_rate': 0.48211025853317946, 'ccp_alpha': 0.3199183481717742}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:16:39,144][0m Trial 587 finished with value: 0.7334547252186162 and parameters: {'loss': 'coxph', 'learning_rate': 0.006073252182071589, 'n_estimators': 432, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08148616894550385, 'min_impurity_decrease': 0.5447665502141849, 'max_features': 0.8913180326392377, 'subsample': 0.700529767752944, 'dropout_rate': 0.49458145171010337, 'ccp_alpha': 0.0896403032969793}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:17:21,176][0m Trial 588 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.008419788211334234, 'n_estimators': 363, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07369129901009433, 'min_impurity_decrease': 0.46876397762806765, 'max_features': 0.91553056924806, 'subsample': 0.7778090117393176, 'dropout_rate': 0.4484305068687393, 'ccp_alpha': 0.2243795211845601}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:18:22,790][0m Trial 589 finished with value: 0.7737499716923424 and parameters: {'loss': 'coxph', 'learning_rate': 0.012474921520818784, 'n_estimators': 489, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08423189244230524, 'min_impurity_decrease': 0.5117186625265432, 'max_features': 0.864711930078485, 'subsample': 0.6851117560009358, 'dropout_rate': 0.6053380344320872, 'ccp_alpha': 0.008055189035465008}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:19:14,617][0m Trial 590 finished with value: 0.7346392747197266 and parameters: {'loss': 'coxph', 'learning_rate': 0.011823540660169087, 'n_estimators': 460, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06931952631324796, 'min_impurity_decrease': 0.4936703448825092, 'max_features': 0.8776255509584306, 'subsample': 0.6837643356790268, 'dropout_rate': 0.5958336570444794, 'ccp_alpha': 0.09003456428866426}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:20:13,350][0m Trial 591 finished with value: 0.6743624146605087 and parameters: {'loss': 'coxph', 'learning_rate': 0.00759443818380163, 'n_estimators': 520, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06392070501813116, 'min_impurity_decrease': 0.5194359244889574, 'max_features': 0.9009732799169905, 'subsample': 0.7163889801813573, 'dropout_rate': 0.6254174039652773, 'ccp_alpha': 0.1791478855051407}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:21:07,147][0m Trial 592 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.010142459237737251, 'n_estimators': 489, 'criterion': 'squared_error', 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0787576705563989, 'min_impurity_decrease': 0.5016577791859225, 'max_features': 0.2380582215401526, 'subsample': 0.6923383820844933, 'dropout_rate': 0.6090289983607906, 'ccp_alpha': 0.005961980191930071}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:21:46,753][0m Trial 593 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.00018517113942739067, 'n_estimators': 398, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0764765232150926, 'min_impurity_decrease': 0.43249003075721937, 'max_features': 0.8635885474053805, 'subsample': 0.6741539752434543, 'dropout_rate': 0.6408204973208926, 'ccp_alpha': 0.3083262785362163}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:23:04,270][0m Trial 594 finished with value: 0.7752994532125771 and parameters: {'loss': 'coxph', 'learning_rate': 0.012937097447324242, 'n_estimators': 542, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.06651262025880185, 'min_impurity_decrease': 0.5544634687933429, 'max_features': 0.9161329399825778, 'subsample': 0.7354125988898097, 'dropout_rate': 0.5486169572612766, 'ccp_alpha': 0.004288202217853295}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:24:15,179][0m Trial 595 finished with value: 0.6743624146605087 and parameters: {'loss': 'coxph', 'learning_rate': 0.010132711499380677, 'n_estimators': 556, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.05283371349201503, 'min_impurity_decrease': 0.5225240759309073, 'max_features': 0.8808095780176639, 'subsample': 0.7418694104481585, 'dropout_rate': 0.5587061921191188, 'ccp_alpha': 0.14923413569412985}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:25:33,571][0m Trial 596 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.006381942973674873, 'n_estimators': 615, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.035749258883695484, 'min_impurity_decrease': 0.5440344070856326, 'max_features': 0.845305351752134, 'subsample': 0.7148167357252408, 'dropout_rate': 0.6034759492296835, 'ccp_alpha': 0.4883079548314871}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:25:59,589][0m Trial 597 finished with value: 0.29005838693697844 and parameters: {'loss': 'squared', 'learning_rate': 0.008450172199392224, 'n_estimators': 417, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06726306093143276, 'min_impurity_decrease': 0.5591479287125024, 'max_features': 0.9216572699485819, 'subsample': 0.728013897875911, 'dropout_rate': 0.5725344395164612, 'ccp_alpha': 0.10137884296263665}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:27:06,845][0m Trial 598 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.012847939370988829, 'n_estimators': 528, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08946817161563621, 'min_impurity_decrease': 0.5194901516669351, 'max_features': 0.8967762863617754, 'subsample': 0.7028982941534206, 'dropout_rate': 0.546364237430369, 'ccp_alpha': 0.24829256385635695}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:28:12,378][0m Trial 599 finished with value: 0.7300121986331607 and parameters: {'loss': 'coxph', 'learning_rate': 0.011587256192026173, 'n_estimators': 501, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.045477592767871076, 'min_impurity_decrease': 0.5482623829665826, 'max_features': 0.8680508001704446, 'subsample': 0.6805249453211202, 'dropout_rate': 0.5029782670099422, 'ccp_alpha': 0.09785933699195874}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:29:22,063][0m Trial 600 finished with value: 0.7761058213756474 and parameters: {'loss': 'coxph', 'learning_rate': 0.007772548357574379, 'n_estimators': 492, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.0632688441521232, 'min_impurity_decrease': 0.4961318093954649, 'max_features': 0.8295028651261366, 'subsample': 0.7953954547973313, 'dropout_rate': 0.5139197873230987, 'ccp_alpha': 0.003999968808778869}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:30:24,278][0m Trial 601 finished with value: 0.6743624146605087 and parameters: {'loss': 'coxph', 'learning_rate': 0.005323690488665055, 'n_estimators': 494, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.0662325964076327, 'min_impurity_decrease': 0.45697141905694993, 'max_features': 0.8351113212928416, 'subsample': 0.7941225387081622, 'dropout_rate': 0.5395219448750976, 'ccp_alpha': 0.1740178375737664}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:31:55,023][0m Trial 602 finished with value: 0.7703440717890544 and parameters: {'loss': 'coxph', 'learning_rate': 0.007188783616962033, 'n_estimators': 563, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.05806089367106432, 'min_impurity_decrease': 0.48019507239807135, 'max_features': 0.8133557371289248, 'subsample': 0.8727945264742022, 'dropout_rate': 0.5153811648723472, 'ccp_alpha': 0.00889794533359277}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:33:31,771][0m Trial 603 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.0042309034602886954, 'n_estimators': 591, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.051296702602391886, 'min_impurity_decrease': 0.45343022991641035, 'max_features': 0.32899279280241467, 'subsample': 0.7668934828515679, 'dropout_rate': 0.5199614121113695, 'ccp_alpha': 0.10574743791267933}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:34:50,123][0m Trial 604 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.006447258495078652, 'n_estimators': 545, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.06017584560849334, 'min_impurity_decrease': 0.4760765809622265, 'max_features': 0.8124939889310785, 'subsample': 0.8524640430926667, 'dropout_rate': 0.514273847874153, 'ccp_alpha': 0.2452727476098812}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:36:20,946][0m Trial 605 finished with value: 0.7235139102383414 and parameters: {'loss': 'coxph', 'learning_rate': 0.0055114464168938455, 'n_estimators': 604, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.02460191553707476, 'min_impurity_decrease': 0.48529215178314145, 'max_features': 0.7827965578923383, 'subsample': 0.7489735840385674, 'dropout_rate': 0.4963866715864407, 'ccp_alpha': 0.09980168274906899}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:37:27,439][0m Trial 606 finished with value: 0.6050283954042335 and parameters: {'loss': 'coxph', 'learning_rate': 0.0076586703194655905, 'n_estimators': 509, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.060432034579407976, 'min_impurity_decrease': 0.4263461056105362, 'max_features': 0.8113746505368966, 'subsample': 0.814110064796839, 'dropout_rate': 0.5379291466348286, 'ccp_alpha': 0.1831741955746979}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:39:03,605][0m Trial 607 finished with value: 0.7752285238053582 and parameters: {'loss': 'coxph', 'learning_rate': 0.00681991909154101, 'n_estimators': 581, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.038860551167295504, 'min_impurity_decrease': 0.4986614823864788, 'max_features': 0.8251237301161051, 'subsample': 0.7972825211344223, 'dropout_rate': 0.4765868307754497, 'ccp_alpha': 0.00645251762383936}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:40:25,498][0m Trial 608 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.005256027326518129, 'n_estimators': 569, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.03637027725379349, 'min_impurity_decrease': 0.46330600500019337, 'max_features': 0.7988191772221391, 'subsample': 0.8960814011123512, 'dropout_rate': 0.4739054335506038, 'ccp_alpha': 2.2251517416167643}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:41:50,410][0m Trial 609 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.0034245524249961567, 'n_estimators': 580, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.05684617018252405, 'min_impurity_decrease': 0.510562891354587, 'max_features': 0.8233709777447394, 'subsample': 0.8246908945524555, 'dropout_rate': 0.48221790642759904, 'ccp_alpha': 1.637643067872967}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:43:08,473][0m Trial 610 finished with value: 0.7360544351435344 and parameters: {'loss': 'coxph', 'learning_rate': 0.006583986912778604, 'n_estimators': 555, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0431454754647185, 'min_impurity_decrease': 0.48448563744553846, 'max_features': 0.8274996722958324, 'subsample': 0.8138844211120224, 'dropout_rate': 0.5585341463381437, 'ccp_alpha': 0.08505434327620179}. Best is trial 582 with value: 0.7782421835300739.[0m
[32m[I 2022-04-15 07:44:56,059][0m Trial 611 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.004645057994112966, 'n_estimators': 671, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07452140450221814, 'min_impurity_decrease': 0.49914623690424453, 'max_features': 0.7912711930523465, 'subsample': 0.9206326480526341, 'dropout_rate': 0.5131824737020585, 'ccp_alpha': 3.551924462827951}. Best is trial 582 with value: 0.7782421835300739.[0m
