No protocol specified
[32m[I 2022-04-13 11:44:06,848][0m A new study created in memory with name: no-name-0aab40b5-3eeb-420d-a579-cb603aaa6019[0m
[32m[I 2022-04-13 11:44:11,487][0m Trial 0 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.017553103748186347, 'n_estimators': 246, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.023000238880208572, 'min_impurity_decrease': 0.22649917377918485, 'max_features': 0.2509370038727874, 'subsample': 0.5756093753196724, 'dropout_rate': 0.8385757486345945, 'ccp_alpha': 3.236731951636076}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-14 14:28:04,818][0m Trial 598 finished with value: 0.7076416088933015 and parameters: {'loss': 'coxph', 'learning_rate': 1.149097697331559e-05, 'n_estimators': 307, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07209064088291532, 'min_impurity_decrease': 0.4907993031334952, 'max_features': 0.981154133163209, 'subsample': 0.8037797337918168, 'dropout_rate': 0.45750799229238553, 'ccp_alpha': 0.18228380619848938}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:28:16,698][0m Trial 599 finished with value: 0.7546721349997211 and parameters: {'loss': 'coxph', 'learning_rate': 0.052401432741685766, 'n_estimators': 333, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.047031330113697235, 'min_impurity_decrease': 0.6254943981898832, 'max_features': 0.9185623758369678, 'subsample': 0.7746913124280403, 'dropout_rate': 0.4277476878053152, 'ccp_alpha': 0.002503999432176261}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:28:29,758][0m Trial 600 finished with value: 0.7420715409590811 and parameters: {'loss': 'coxph', 'learning_rate': 0.02134793221421305, 'n_estimators': 343, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.031117389521410372, 'min_impurity_decrease': 0.6284835121582585, 'max_features': 0.9142238602738026, 'subsample': 0.8046233183590898, 'dropout_rate': 0.3903385114992735, 'ccp_alpha': 0.09666200745982498}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:28:41,201][0m Trial 601 finished with value: 0.5226740215903585 and parameters: {'loss': 'coxph', 'learning_rate': 0.04720869568669937, 'n_estimators': 329, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.32403989155417284, 'min_impurity_decrease': 0.3672378384965742, 'max_features': 0.9282928981807893, 'subsample': 0.7767745996706025, 'dropout_rate': 0.42258624859921, 'ccp_alpha': 0.293313807406819}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:28:49,891][0m Trial 602 finished with value: 0.7530397396548089 and parameters: {'loss': 'coxph', 'learning_rate': 0.0341373546522226, 'n_estimators': 344, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.03988742450853477, 'min_impurity_decrease': 0.674613578295493, 'max_features': 0.9111784276798003, 'subsample': 0.7762259624285809, 'dropout_rate': 0.6815419032803245, 'ccp_alpha': 0.0030653721702820482}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:28:58,620][0m Trial 603 finished with value: 0.7067363045195153 and parameters: {'loss': 'coxph', 'learning_rate': 0.09611972565589466, 'n_estimators': 352, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.038195082627485055, 'min_impurity_decrease': 0.6402034017654684, 'max_features': 0.9117944299345881, 'subsample': 0.7662925457480527, 'dropout_rate': 0.662058983731661, 'ccp_alpha': 0.17845580574349748}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:29:06,316][0m Trial 604 finished with value: 0.7337925787068184 and parameters: {'loss': 'coxph', 'learning_rate': 0.008927708587450936, 'n_estimators': 342, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.036470824414517766, 'min_impurity_decrease': 0.7353928842804878, 'max_features': 0.9452919300301488, 'subsample': 0.7834432583752223, 'dropout_rate': 0.6989964740816331, 'ccp_alpha': 0.08618540668997882}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:29:14,076][0m Trial 605 finished with value: 0.2501693993257863 and parameters: {'loss': 'squared', 'learning_rate': 0.04063483187739041, 'n_estimators': 325, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0414905159718858, 'min_impurity_decrease': 0.7290307016702454, 'max_features': 0.9628898255351411, 'subsample': 0.7721653761851133, 'dropout_rate': 0.6859074093698403, 'ccp_alpha': 0.09785868678946712}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:29:23,636][0m Trial 606 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.06219915127861148, 'n_estimators': 356, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.017662909025747575, 'min_impurity_decrease': 0.6700855078858764, 'max_features': 0.9486053562484361, 'subsample': 0.7902481133338465, 'dropout_rate': 0.6687505541811818, 'ccp_alpha': 2.113049519113924}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:29:31,563][0m Trial 607 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.03651986067606805, 'n_estimators': 333, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.028077903915689567, 'min_impurity_decrease': 0.6316341393571094, 'max_features': 0.9125967844935585, 'subsample': 0.8258238546143727, 'dropout_rate': 0.6898200540887041, 'ccp_alpha': 0.5347367505919117}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:29:37,923][0m Trial 608 finished with value: 0.6140361530466769 and parameters: {'loss': 'coxph', 'learning_rate': 0.06385437183367958, 'n_estimators': 316, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.042953822620431806, 'min_impurity_decrease': 0.4247936225953882, 'max_features': 0.9521615363145823, 'subsample': 0.8394048091563964, 'dropout_rate': 0.7227162491324274, 'ccp_alpha': 0.23181600185217557}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:29:46,367][0m Trial 609 finished with value: 0.7430674424369602 and parameters: {'loss': 'coxph', 'learning_rate': 0.055507908515693226, 'n_estimators': 384, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.04611339402409675, 'min_impurity_decrease': 0.6962111632319726, 'max_features': 0.9720006581984018, 'subsample': 0.7982335640759637, 'dropout_rate': 0.7427727127183007, 'ccp_alpha': 0.09360570045070998}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:29:55,329][0m Trial 610 finished with value: 0.7078227895990507 and parameters: {'loss': 'coxph', 'learning_rate': 0.0688234051565589, 'n_estimators': 348, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.02158395354417969, 'min_impurity_decrease': 0.655685431319994, 'max_features': 0.9388680290201297, 'subsample': 0.8235967368995666, 'dropout_rate': 0.6370073624453049, 'ccp_alpha': 0.1818615827361157}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:30:03,689][0m Trial 611 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.01547481960487849, 'n_estimators': 329, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05091238051397107, 'min_impurity_decrease': 0.7253894611206506, 'max_features': 0.9803137752717714, 'subsample': 0.8535710995634522, 'dropout_rate': 0.6191563379560842, 'ccp_alpha': 0.3163939566077672}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:30:13,332][0m Trial 612 finished with value: 0.7464004872256289 and parameters: {'loss': 'coxph', 'learning_rate': 0.075507790446196, 'n_estimators': 364, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05130627833133091, 'min_impurity_decrease': 0.6041646703192971, 'max_features': 0.9612602721782976, 'subsample': 0.758118341075285, 'dropout_rate': 0.6532103150846448, 'ccp_alpha': 0.08047397641617123}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:30:19,798][0m Trial 613 finished with value: 0.6884241516826367 and parameters: {'loss': 'coxph', 'learning_rate': 0.04009887920475666, 'n_estimators': 312, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.036732517472724636, 'min_impurity_decrease': 0.5747382470439557, 'max_features': 0.9295483247661448, 'subsample': 0.8393131827865009, 'dropout_rate': 0.7072419458949981, 'ccp_alpha': 0.17908265614898908}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:30:27,339][0m Trial 614 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.0335968394903605, 'n_estimators': 344, 'criterion': 'absolute_error', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.048450370628731275, 'min_impurity_decrease': 0.21832159178581517, 'max_features': 0.9827353352595674, 'subsample': 0.8170183820900851, 'dropout_rate': 0.7266826430862812, 'ccp_alpha': 0.06970177195994388}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:30:35,227][0m Trial 615 finished with value: 0.7124935009048422 and parameters: {'loss': 'coxph', 'learning_rate': 0.03315083515937311, 'n_estimators': 325, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.23539631697820054, 'min_impurity_decrease': 0.6876627907951223, 'max_features': 0.9534312873368573, 'subsample': 0.8646750145478501, 'dropout_rate': 0.6476787241629548, 'ccp_alpha': 0.08643912769015882}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:30:41,523][0m Trial 616 finished with value: 0.7232085727019992 and parameters: {'loss': 'coxph', 'learning_rate': 0.02751510571157126, 'n_estimators': 304, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05943104653650155, 'min_impurity_decrease': 0.358746792735384, 'max_features': 0.981142037708794, 'subsample': 0.8993929120781401, 'dropout_rate': 0.6847135453273308, 'ccp_alpha': 0.003987116808309302}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:30:53,934][0m Trial 617 finished with value: 0.6106031757230207 and parameters: {'loss': 'coxph', 'learning_rate': 0.02798176093891572, 'n_estimators': 336, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.027461963785132503, 'min_impurity_decrease': 0.6484358627349294, 'max_features': 0.9134957711701482, 'subsample': 0.7901499752340545, 'dropout_rate': 0.3685319978898524, 'ccp_alpha': 0.25574521699705904}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:31:04,146][0m Trial 618 finished with value: 0.6950446086966238 and parameters: {'loss': 'coxph', 'learning_rate': 4.4106781156121966e-05, 'n_estimators': 311, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05926715031771168, 'min_impurity_decrease': 0.7083340607944497, 'max_features': 0.9644978640524872, 'subsample': 0.8473821575001258, 'dropout_rate': 0.4052628466503876, 'ccp_alpha': 0.1740984576396746}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:31:15,852][0m Trial 619 finished with value: 0.7093403817034046 and parameters: {'loss': 'coxph', 'learning_rate': 0.05128914612601557, 'n_estimators': 371, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.04752050641611944, 'min_impurity_decrease': 0.6892685129281165, 'max_features': 0.22868626856189622, 'subsample': 0.8282321125471442, 'dropout_rate': 0.6047204205654004, 'ccp_alpha': 0.004998929101648869}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:31:22,076][0m Trial 620 finished with value: 0.7366758432735672 and parameters: {'loss': 'coxph', 'learning_rate': 0.05240304924441572, 'n_estimators': 298, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05543333461944552, 'min_impurity_decrease': 0.5276277160816659, 'max_features': 0.9988723476692903, 'subsample': 0.8781359577699206, 'dropout_rate': 0.666073849619179, 'ccp_alpha': 0.10580241135171009}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:31:40,736][0m Trial 621 finished with value: 0.7449193198831963 and parameters: {'loss': 'coxph', 'learning_rate': 2.453314174119209e-05, 'n_estimators': 434, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.03571975941383526, 'min_impurity_decrease': 0.3198190582814438, 'max_features': 0.938283766686829, 'subsample': 0.8065636336954964, 'dropout_rate': 0.49662105863309586, 'ccp_alpha': 0.003519232770782396}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:31:42,490][0m Trial 622 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.07968362310174755, 'n_estimators': 120, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.48431049780543534, 'min_impurity_decrease': 0.5286059802413691, 'max_features': 0.9807360831000677, 'subsample': 0.8553066088706571, 'dropout_rate': 0.43303956353718664, 'ccp_alpha': 0.37287290730976697}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:31:53,931][0m Trial 623 finished with value: 0.25497058285489965 and parameters: {'loss': 'squared', 'learning_rate': 0.041247702475718545, 'n_estimators': 322, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06571987346719867, 'min_impurity_decrease': 0.01830755635306363, 'max_features': 0.9632265846605567, 'subsample': 0.8294050875131306, 'dropout_rate': 0.3924820170476203, 'ccp_alpha': 0.21844831271902743}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:32:07,889][0m Trial 624 finished with value: 0.7383519399608731 and parameters: {'loss': 'coxph', 'learning_rate': 0.044916469062964585, 'n_estimators': 350, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0067411951165538, 'min_impurity_decrease': 0.01985640641408067, 'max_features': 0.9991552768878007, 'subsample': 0.7816171860704546, 'dropout_rate': 0.4700771318996518, 'ccp_alpha': 0.09376276611619709}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:32:26,215][0m Trial 625 finished with value: 0.702504904332984 and parameters: {'loss': 'coxph', 'learning_rate': 0.002355682654608318, 'n_estimators': 483, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06718692039626317, 'min_impurity_decrease': 0.0206206614159959, 'max_features': 0.9539805425121853, 'subsample': 0.9571607355656135, 'dropout_rate': 0.6314015228543902, 'ccp_alpha': 0.004810118295291969}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:32:43,346][0m Trial 626 finished with value: 0.6858707212139639 and parameters: {'loss': 'coxph', 'learning_rate': 0.0030989679036046644, 'n_estimators': 390, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.04230163369639672, 'min_impurity_decrease': 0.003691010016843313, 'max_features': 0.9806664327783179, 'subsample': 0.8632454995173414, 'dropout_rate': 0.4182397711695708, 'ccp_alpha': 0.1696917117496885}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:32:53,713][0m Trial 627 finished with value: 0.7281007213762941 and parameters: {'loss': 'coxph', 'learning_rate': 3.24115869592061e-05, 'n_estimators': 297, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07093233621351784, 'min_impurity_decrease': 0.7479247338724688, 'max_features': 0.9363614873162136, 'subsample': 0.8891144207863462, 'dropout_rate': 0.3495416990629241, 'ccp_alpha': 0.004711886146666028}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:33:01,130][0m Trial 628 finished with value: 0.5160881488838708 and parameters: {'loss': 'coxph', 'learning_rate': 0.018618955888047108, 'n_estimators': 336, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05442090061541298, 'min_impurity_decrease': 0.019249350200432433, 'max_features': 0.9650516194183018, 'subsample': 0.8421720344948315, 'dropout_rate': 0.6832968445860819, 'ccp_alpha': 0.299104706684073}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:33:10,929][0m Trial 629 finished with value: 0.7465853164119312 and parameters: {'loss': 'coxph', 'learning_rate': 0.006072803387478491, 'n_estimators': 317, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08282028848740236, 'min_impurity_decrease': 0.9786696027488988, 'max_features': 0.9791987928391097, 'subsample': 0.8217310070966624, 'dropout_rate': 0.4932625943621868, 'ccp_alpha': 0.0024749198070785766}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:33:21,730][0m Trial 630 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.0023247725379018664, 'n_estimators': 417, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06259515678834564, 'min_impurity_decrease': 0.6796473757430258, 'max_features': 0.36517172531151343, 'subsample': 0.7966579423938338, 'dropout_rate': 0.7127696826187848, 'ccp_alpha': 3.5015230452181463}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:33:29,989][0m Trial 631 finished with value: 0.7100994137527155 and parameters: {'loss': 'coxph', 'learning_rate': 2.306143998075828e-05, 'n_estimators': 277, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0894729025575855, 'min_impurity_decrease': 0.03606968423476703, 'max_features': 0.9995524122444128, 'subsample': 0.8517893864651513, 'dropout_rate': 0.4349177830548616, 'ccp_alpha': 0.16461822203735335}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:33:44,125][0m Trial 632 finished with value: 0.7471000733468937 and parameters: {'loss': 'coxph', 'learning_rate': 0.002461213641511755, 'n_estimators': 364, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07401601840091424, 'min_impurity_decrease': 0.661144962029217, 'max_features': 0.9104794231679048, 'subsample': 0.8130863858579241, 'dropout_rate': 0.4645583953648725, 'ccp_alpha': 0.09260709411955177}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:33:53,837][0m Trial 633 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.007993024675378218, 'n_estimators': 287, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.346606349656971, 'min_impurity_decrease': 0.0034897494970267673, 'max_features': 0.9490652136362513, 'subsample': 0.8738961772936533, 'dropout_rate': 0.4055978539458733, 'ccp_alpha': 0.24659732069358775}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:34:03,552][0m Trial 634 finished with value: 0.7067363045195153 and parameters: {'loss': 'coxph', 'learning_rate': 0.003817550232462045, 'n_estimators': 310, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.055162098122026035, 'min_impurity_decrease': 0.775962267097212, 'max_features': 0.9660028506488509, 'subsample': 0.8362485979107815, 'dropout_rate': 0.512604391696212, 'ccp_alpha': 0.15975690701678705}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:34:13,228][0m Trial 635 finished with value: 0.7104562801989851 and parameters: {'loss': 'coxph', 'learning_rate': 1.9272805175630096e-05, 'n_estimators': 337, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08174765202836072, 'min_impurity_decrease': 0.5455762786253132, 'max_features': 0.5845582985656554, 'subsample': 0.915236418347299, 'dropout_rate': 0.5943203960357397, 'ccp_alpha': 0.10561945663596889}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:34:23,256][0m Trial 636 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.012998587558757104, 'n_estimators': 300, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.19621841159547307, 'min_impurity_decrease': 0.6214520632300876, 'max_features': 0.9784577023495193, 'subsample': 0.7732791649584955, 'dropout_rate': 0.37873694446289785, 'ccp_alpha': 0.4474109359748348}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:34:33,716][0m Trial 637 finished with value: 0.7300496529294304 and parameters: {'loss': 'coxph', 'learning_rate': 4.58330595324473e-06, 'n_estimators': 324, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0684120833185076, 'min_impurity_decrease': 0.4739541407370145, 'max_features': 0.926861135667162, 'subsample': 0.8611122304004702, 'dropout_rate': 0.47870987663912223, 'ccp_alpha': 0.10748247089982094}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:34:53,146][0m Trial 638 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.09937519000436867, 'n_estimators': 350, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09442731871091029, 'min_impurity_decrease': 0.8861868612139798, 'max_features': 0.9465005658135912, 'subsample': 0.814739453646074, 'dropout_rate': 0.008333390492821502, 'ccp_alpha': 3.2385821601918754}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:35:00,662][0m Trial 639 finished with value: 0.5217459622928541 and parameters: {'loss': 'coxph', 'learning_rate': 0.0021272827403539273, 'n_estimators': 268, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.045454120871858815, 'min_impurity_decrease': 0.5988751607738709, 'max_features': 0.9834180503176894, 'subsample': 0.8856489337076688, 'dropout_rate': 0.44359766173517684, 'ccp_alpha': 0.2641816068776409}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:35:11,790][0m Trial 640 finished with value: 0.7509755080881935 and parameters: {'loss': 'coxph', 'learning_rate': 0.0028750244563185336, 'n_estimators': 379, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0758131950816052, 'min_impurity_decrease': 0.45435449787865917, 'max_features': 0.9632349836968159, 'subsample': 0.8428335719066767, 'dropout_rate': 0.6203629643446571, 'ccp_alpha': 0.0062171170978082375}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:35:21,831][0m Trial 641 finished with value: 0.7552631516197625 and parameters: {'loss': 'coxph', 'learning_rate': 0.003295681642760884, 'n_estimators': 371, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08525954861004392, 'min_impurity_decrease': 0.0022309335921137895, 'max_features': 0.9989242626671837, 'subsample': 0.798358217209775, 'dropout_rate': 0.645267903069121, 'ccp_alpha': 0.006441924556678927}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:35:32,047][0m Trial 642 finished with value: 0.7443611358146367 and parameters: {'loss': 'coxph', 'learning_rate': 0.002932963964039045, 'n_estimators': 380, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07764304645025569, 'min_impurity_decrease': 0.5466807331678732, 'max_features': 0.9974858580909988, 'subsample': 0.7549536026100623, 'dropout_rate': 0.6469400931287684, 'ccp_alpha': 0.0843258447694595}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:35:42,649][0m Trial 643 finished with value: 0.704683147173378 and parameters: {'loss': 'coxph', 'learning_rate': 0.0026816637763292495, 'n_estimators': 402, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0846530728778385, 'min_impurity_decrease': 0.04496932112751528, 'max_features': 0.9990252502421829, 'subsample': 0.7886008504087242, 'dropout_rate': 0.6795653198186826, 'ccp_alpha': 0.17982295558575526}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:35:53,023][0m Trial 644 finished with value: 0.28193013205182943 and parameters: {'loss': 'squared', 'learning_rate': 0.0022425409212524666, 'n_estimators': 382, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09776251365764421, 'min_impurity_decrease': 0.4177291116904893, 'max_features': 0.9644641674018677, 'subsample': 0.13593037433176602, 'dropout_rate': 0.6371120803963569, 'ccp_alpha': 0.08156052207906947}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:36:03,103][0m Trial 645 finished with value: 0.747849204624653 and parameters: {'loss': 'coxph', 'learning_rate': 0.0033502464538701948, 'n_estimators': 369, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07260859386400811, 'min_impurity_decrease': 0.7952112048112776, 'max_features': 0.9791011442901123, 'subsample': 0.7994892285974416, 'dropout_rate': 0.6618556870245403, 'ccp_alpha': 0.010609255656028403}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:36:16,306][0m Trial 646 finished with value: 0.7420803182637731 and parameters: {'loss': 'coxph', 'learning_rate': 0.002683711255420257, 'n_estimators': 396, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08736710776023546, 'min_impurity_decrease': 0.02787450969109386, 'max_features': 0.9994470396961423, 'subsample': 0.7760780943140742, 'dropout_rate': 0.622131608123956, 'ccp_alpha': 0.006284348162929827}. Best is trial 540 with value: 0.7566929380169813.[0m
[32m[I 2022-04-14 14:36:30,796][0m Trial 647 finished with value: 0.7096403551926693 and parameters: {'loss': 'coxph', 'learning_rate': 0.0002959644660553582, 'n_estimators': 443, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07460117395722417, 'min_impurity_decrease': 0.7069879827916825, 'max_features': 0.9448680939395397, 'subsample': 0.8028822041040464, 'dropout_rate': 0.6532914993661751, 'ccp_alpha': 0.18337798980714798}. Best is trial 540 with value: 0.7566929380169813.[0m
